,SiteID,BASIN_ID,MAIN_RIV
1,S10451,84153,10850962
2,S10454,146411,11405729
3,S11614,85130,10857729
4,S6008,83765,10848636
5,S9157,83765,10848636
6,S10446,9447,60001946
7,S6002,9447,60001946
8,S9152,9447,60001946
9,S10450,106830,61385822
10,S6007,106830,61385822
11,S9156,106830,61385822
12,S10453,121076,61504467
13,S10455,121076,61504467
14,S11616,121076,61504467
15,S11880,121076,61504467
16,S12829,121076,61504467
17,S12830,121076,61504467
18,S12831,121076,61504467
19,S12832,121076,61504467
20,S12833,121076,61504467
21,S12834,121076,61504467
22,S12835,121076,61504467
23,S12836,121076,61504467
24,S12837,121076,61504467
25,S12838,121076,61504467
26,S12839,121076,61504467
27,S12840,121076,61504467
28,S12841,121076,61504467
29,S12842,121076,61504467
30,S12843,121076,61504467
31,S12844,121076,61504467
32,S12845,121076,61504467
33,S12846,121076,61504467
34,S12847,121076,61504467
35,S12848,121076,61504467
36,S12849,121076,61504467
37,S12850,121076,61504467
38,S12851,121076,61504467
39,S12852,121076,61504467
40,S12853,121076,61504467
41,S12854,121076,61504467
42,S12855,121076,61504467
43,S12856,121076,61504467
44,S12857,121076,61504467
45,S12858,121076,61504467
46,S12859,121076,61504467
47,S12860,121076,61504467
48,S12861,121076,61504467
49,S12862,121076,61504467
50,S12863,121076,61504467
51,S12864,121076,61504467
52,S12865,121076,61504467
53,S12866,121076,61504467
54,S6010,121076,61504467
55,S6011,121076,61504467
56,S9159,121076,61504467
57,S9160,121076,61504467
58,S1300,112585,61457546
59,S1940,112585,61457546
60,S2678,112585,61457546
61,S3236,112585,61457546
62,S3781,112585,61457546
63,S4440,112585,61457546
64,S5115,112585,61457546
65,S5560,112585,61457546
66,S6023,112585,61457546
67,S6475,112585,61457546
68,S673,112585,61457546
69,S6927,112585,61457546
70,S7428,112585,61457546
71,S7866,112585,61457546
72,S8404,112585,61457546
73,S8638,112585,61457546
74,S8763,112585,61457546
75,S8892,112585,61457546
76,S9024,112585,61457546
77,S9168,112585,61457546
78,S9316,112585,61457546
79,S9450,112585,61457546
80,S1,124863,20323928
81,S104,124863,20323928
82,S11,124863,20323928
83,S113,124863,20323928
84,S132,124863,20323928
85,S136,124863,20323928
86,S139,124863,20323928
87,S140,124863,20323928
88,S161,124863,20323928
89,S162,124863,20323928
90,S164,124863,20323928
91,S167,124863,20323928
92,S17,124863,20323928
93,S178,124863,20323928
94,S185,124863,20323928
95,S188,124863,20323928
96,S19,124863,20323928
97,S192,124863,20323928
98,S199,124863,20323928
99,S202,124863,20323928
100,S210,124863,20323928
101,S215,124863,20323928
102,S226,124863,20323928
103,S231,124863,20323928
104,S236,124863,20323928
105,S24,124863,20323928
106,S247,124863,20323928
107,S248,124863,20323928
108,S26,124863,20323928
109,S27,124863,20323928
110,S3,124863,20323928
111,S33,124863,20323928
112,S3859,124863,20323928
113,S3870,124863,20323928
114,S3880,124863,20323928
115,S3884,124863,20323928
116,S3889,124863,20323928
117,S3890,124863,20323928
118,S3895,124863,20323928
119,S3897,124863,20323928
120,S3898,124863,20323928
121,S39,124863,20323928
122,S3900,124863,20323928
123,S3901,124863,20323928
124,S3904,124863,20323928
125,S3911,124863,20323928
126,S3912,124863,20323928
127,S3913,124863,20323928
128,S3916,124863,20323928
129,S3919,124863,20323928
130,S3924,124863,20323928
131,S3925,124863,20323928
132,S3928,124863,20323928
133,S3931,124863,20323928
134,S3933,124863,20323928
135,S3935,124863,20323928
136,S3939,124863,20323928
137,S3942,124863,20323928
138,S3943,124863,20323928
139,S3944,124863,20323928
140,S3945,124863,20323928
141,S3946,124863,20323928
142,S3947,124863,20323928
143,S3949,124863,20323928
144,S3950,124863,20323928
145,S3951,124863,20323928
146,S3952,124863,20323928
147,S3954,124863,20323928
148,S3956,124863,20323928
149,S3957,124863,20323928
150,S3958,124863,20323928
151,S3959,124863,20323928
152,S3961,124863,20323928
153,S3963,124863,20323928
154,S3965,124863,20323928
155,S3966,124863,20323928
156,S3969,124863,20323928
157,S3972,124863,20323928
158,S3973,124863,20323928
159,S3974,124863,20323928
160,S3975,124863,20323928
161,S3976,124863,20323928
162,S3977,124863,20323928
163,S3978,124863,20323928
164,S3982,124863,20323928
165,S3983,124863,20323928
166,S3987,124863,20323928
167,S3994,124863,20323928
168,S4006,124863,20323928
169,S4008,124863,20323928
170,S4011,124863,20323928
171,S4036,124863,20323928
172,S4048,124863,20323928
173,S4057,124863,20323928
174,S4069,124863,20323928
175,S4070,124863,20323928
176,S4073,124863,20323928
177,S4078,124863,20323928
178,S4090,124863,20323928
179,S4093,124863,20323928
180,S4094,124863,20323928
181,S4096,124863,20323928
182,S4098,124863,20323928
183,S4106,124863,20323928
184,S4107,124863,20323928
185,S4114,124863,20323928
186,S4121,124863,20323928
187,S4134,124863,20323928
188,S4137,124863,20323928
189,S4162,124863,20323928
190,S4175,124863,20323928
191,S4188,124863,20323928
192,S4189,124863,20323928
193,S4190,124863,20323928
194,S42,124863,20323928
195,S4209,124863,20323928
196,S44,124863,20323928
197,S45,124863,20323928
198,S47,124863,20323928
199,S49,124863,20323928
200,S5,124863,20323928
201,S51,124863,20323928
202,S52,124863,20323928
203,S55,124863,20323928
204,S56,124863,20323928
205,S58,124863,20323928
206,S6,124863,20323928
207,S60,124863,20323928
208,S62,124863,20323928
209,S63,124863,20323928
210,S65,124863,20323928
211,S7,124863,20323928
212,S70,124863,20323928
213,S71,124863,20323928
214,S72,124863,20323928
215,S73,124863,20323928
216,S77,124863,20323928
217,S78,124863,20323928
218,S79,124863,20323928
219,S8,124863,20323928
220,S80,124863,20323928
221,S81,124863,20323928
222,S9,124863,20323928
223,S90,124863,20323928
224,S97,124863,20323928
225,S10,71002,20244103
226,S16,71002,20244103
227,S100,137672,20354233
228,S11226,137672,20354233
229,S11231,137672,20354233
230,S11234,137672,20354233
231,S11238,137672,20354233
232,S11242,137672,20354233
233,S11245,137672,20354233
234,S11247,137672,20354233
235,S11251,137672,20354233
236,S11253,137672,20354233
237,S11255,137672,20354233
238,S11256,137672,20354233
239,S11268,137672,20354233
240,S11269,137672,20354233
241,S11271,137672,20354233
242,S135,137672,20354233
243,S146,137672,20354233
244,S205,137672,20354233
245,S228,137672,20354233
246,S31,137672,20354233
247,S329,137672,20354233
248,S1000,150975,20446779
249,S1025,150975,20446779
250,S1133,150975,20446779
251,S1134,150975,20446779
252,S1135,150975,20446779
253,S1157,150975,20446779
254,S1159,150975,20446779
255,S1179,150975,20446779
256,S1190,150975,20446779
257,S1231,150975,20446779
258,S1233,150975,20446779
259,S1432,150975,20446779
260,S1433,150975,20446779
261,S1436,150975,20446779
262,S1457,150975,20446779
263,S1458,150975,20446779
264,S1507,150975,20446779
265,S1623,150975,20446779
266,S1638,150975,20446779
267,S1643,150975,20446779
268,S1644,150975,20446779
269,S1645,150975,20446779
270,S1698,150975,20446779
271,S1701,150975,20446779
272,S1711,150975,20446779
273,S1712,150975,20446779
274,S1714,150975,20446779
275,S1715,150975,20446779
276,S1717,150975,20446779
277,S1718,150975,20446779
278,S2224,150975,20446779
